"200 W Portland St #719, Phoenix, AZ 85003",475000.0,2.0,2.0,0.0,2020-07-13,NaN,33.45076,-112.07836
"16 W Encanto Blvd UNIT 403, Phoenix, AZ 85003",245000.0,2.67,0.0,0.0,2020-07-10,NaN,33.45076,-112.07836
"514 W Lynwood St, Phoenix, AZ 85003",565000.0,1.75,3.0,0.0,2020-07-09,NaN,33.45076,-112.07836
"527 W Wilshire Dr, Phoenix, AZ 85003",508000.0,2.0,3.0,0.0,2020-07-08,NaN,33.45076,-112.07836
"114 W Adams St, Phoenix, AZ 85003",321000.0,2.0,2.0,0.0,2020-07-08,NaN,33.45076,-112.07836
"546 W Virginia Ave, Phoenix, AZ 85003",401500.0,1.0,3.0,0.0,2020-07-07,NaN,33.45076,-112.07836
"521 W Holly St, Phoenix, AZ 85003",620000.0,3.0,3.0,0.0,2020-07-02,NaN,33.45076,-112.07836
"200 W Portland St UNIT 518, Phoenix, AZ 85003",355000.0,1.0,1.0,0.0,2020-07-01,NaN,33.45076,-112.07836
"909 S 3rd Ave, Phoenix, AZ 85003",155000.0,1.0,0.0,0.0,2020-07-01,NaN,33.45076,-112.07836
"65 W Virginia Ave, Phoenix, AZ 85003",495000.0,1.0,2.0,0.0,2020-06-29,NaN,33.45076,-112.07836
"17 W Vernon Ave UNIT 109, Phoenix, AZ 85003",365000.0,3.0,2.0,0.0,2020-06-26,NaN,33.45076,-112.07836
"16 W Encanto Blvd UNIT 622, Phoenix, AZ 85003",355000.0,2.0,2.0,0.0,2020-06-26,NaN,33.45076,-112.07836
"636 N 4th Ave UNIT 1, Phoenix, AZ 85003",122000.0,1.0,1.0,0.0,2020-06-24,NaN,33.45076,-112.07836
"100 W Portland St UNIT 505, Phoenix, AZ 85003",310000.0,1.0,1.0,0.0,2020-06-19,NaN,33.45076,-112.07836
"541 W Windsor Ave, Phoenix, AZ 85003",430000.0,2.0,3.0,0.0,2020-06-18,NaN,33.45076,-112.07836
"16 W Encanto Blvd UNIT 415, Phoenix, AZ 85003",252000.0,2.0,2.0,0.0,2020-06-11,NaN,33.45076,-112.07836
"546 W Cambridge Ave, Phoenix, AZ 85003",447500.0,2.0,3.0,0.0,2020-06-08,NaN,33.45076,-112.07836
"315 W Edgemont Ave, Phoenix, AZ 85003",492000.0,2.0,3.0,0.0,2020-06-08,NaN,33.45076,-112.07836
"200 W Portland St #721, Phoenix, AZ 85003",543000.0,2.0,2.0,0.0,2020-06-02,https://photos.zillowstatic.com/p_e/ISfkkpx63iqg9c0000000000.jpg,33.45076,-112.07836
"317 W Encanto Blvd, Phoenix, AZ 85003",475000.0,2.75,4.0,0.0,2020-06-01,https://photos.zillowstatic.com/fp/77829c870892312929d14694f3d01cf1-p_e.jpg,33.45076,-112.07836
"16 W Encanto Blvd UNIT 609, Phoenix, AZ 85003",285000.0,2.0,2.0,0.0,2020-05-29,https://photos.zillowstatic.com/fp/2410de844b5f0685ded77b6c3a5410c0-p_e.jpg,33.45076,-112.07836
"58 W Wilshire Dr, Phoenix, AZ 85003",605000.0,2.0,4.0,0.0,2020-05-29,https://photos.zillowstatic.com/fp/d2537faf680581ca7a38f4d74581217d-p_e.jpg,33.45076,-112.07836
"16 W Encanto Blvd UNIT 8, Phoenix, AZ 85003",305000.0,2.5,2.0,0.0,2020-05-28,https://photos.zillowstatic.com/p_e/ISzrz1y855bjkh1000000000.jpg,33.45076,-112.07836
"8 W Encanto Blvd, Phoenix, AZ 85003",305000.0,3.33,0.0,0.0,2020-05-28,NaN,33.45076,-112.07836
"114 W Adams St, Phoenix, AZ 85003",220000.0,1.0,1.0,0.0,2020-05-28,https://photos.zillowstatic.com/fp/3e98e6e80f45df2a7e51f0fe35cbdd6a-p_e.jpg,33.45076,-112.07836
"21 W Wilshire Dr, Phoenix, AZ 85003",332500.0,1.0,2.0,0.0,2020-05-26,NaN,33.45076,-112.07836
"805 N 4th Ave UNIT 701, Phoenix, AZ 85003",195000.0,1.0,1.0,0.0,2020-05-26,NaN,33.45076,-112.07836
"1024 S 3rd Ave, Phoenix, AZ 85003",172000.0,2.0,3.0,0.0,2020-05-26,NaN,33.45076,-112.07836
"424 S 2nd St UNIT 207, Phoenix, AZ 85004",365000.0,1.75,2.0,0.0,2020-11-17,https://photos.zillowstatic.com/fp/7a74a7e34aa2cab3231dfb097b441e86-p_e.jpg,33.45156,-112.06986
"2302 N Central Ave UNIT 204, Phoenix, AZ 85004",262350.0,2.0,2.0,0.0,2020-11-09,https://photos.zillowstatic.com/fp/41ce883996b9c812d4ad503bf37c6f19-p_e.jpg,33.45156,-112.06986
"325 E Coronado Rd UNIT 20, Phoenix, AZ 85004",460000.0,2.5,2.0,0.0,2020-11-05,https://photos.zillowstatic.com/p_e/ISj3i3bl61jwlq0000000000.jpg,33.45156,-112.06986
"140 E Coronado Rd UNIT 25, Phoenix, AZ 85004",290000.0,2.0,2.0,0.0,2020-11-04,https://photos.zillowstatic.com/fp/406a61fb77b4716842862fe490c78b28-p_e.jpg,33.45156,-112.06986
"1130 N 2nd St UNIT 303, Phoenix, AZ 85004",265000.0,1.0,1.0,0.0,2020-10-30,https://photos.zillowstatic.com/p_e/IS7qnhn9vnre1i1000000000.jpg,33.45156,-112.06986
"615 E Portland St UNIT 117, Phoenix, AZ 85004",400000.0,3.0,3.0,0.0,2020-10-30,https://photos.zillowstatic.com/fp/43b6b48a3e7c02c58788bfd3fb7293b2-p_e.jpg,33.45156,-112.06986
"310 S 4th St UNIT 2102, Phoenix, AZ 85004",407000.0,2.5,2.0,0.0,2020-10-30,NaN,33.45156,-112.06986
"100 E Fillmore St UNIT 230, Phoenix, AZ 85004",300000.0,1.75,2.0,0.0,2020-10-26,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1603, Phoenix, AZ 85004",260000.0,1.5,1.0,0.0,2020-10-23,NaN,33.45156,-112.06986
"1009 S 1st St, Phoenix, AZ 85004",189000.0,3.0,3.0,0.0,2020-10-23,NaN,33.45156,-112.06986
"1326 N Central Ave UNIT 307, Phoenix, AZ 85004",385000.0,2.0,2.0,0.0,2020-10-19,NaN,33.45156,-112.06986
"2302 N Central Ave UNIT 608, Phoenix, AZ 85004",330000.0,2.0,2.0,0.0,2020-10-16,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1309, Phoenix, AZ 85004",260000.0,1.5,1.0,0.0,2020-10-12,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1504, Phoenix, AZ 85004",250000.0,1.5,1.0,0.0,2020-10-07,NaN,33.45156,-112.06986
"1130 N 2nd St #406, Phoenix, AZ 85004",239900.0,1.0,1.0,0.0,2020-10-02,NaN,33.45156,-112.06986
"1130 N 2nd St, Phoenix, AZ 85004",239900.0,1.0,1.0,0.0,2020-10-02,NaN,33.45156,-112.06986
"78 E Ashland Ave, Phoenix, AZ 85004",624999.0,2.5,3.0,0.0,2020-09-30,NaN,33.45156,-112.06986
"212 E Tonto St, Phoenix, AZ 85004",90000.0,2.5,0.0,0.0,2020-09-26,NaN,33.45156,-112.06986
"2323 N Central Ave UNIT 1903, Phoenix, AZ 85004",450000.0,2.0,2.0,0.0,2020-09-25,NaN,33.45156,-112.06986
"110 E Coronado Rd UNIT 7, Phoenix, AZ 85004",235000.0,2.0,2.0,0.0,2020-09-24,NaN,33.45156,-112.06986
